Date, Turbo On, Water Chiller Run Time, Glow/Hydro RP On, Dep RP On, DEP Motor Run Time, Rotation Motor O-ring, Glow Hydro RP Oil Life, DEP Rough Pump Oil Life, FS Chrome Target Life, FS Low Index Target Life, FS High Index Target Life, BS Chrome Target Life, BS Low Index Target Life, BS High Index Target Life, Lens Count, Lens Count Setpoint
7/6/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/7/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/8/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/9/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/10/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/11/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/12/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/13/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/14/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/15/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/16/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/17/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/18/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/19/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/20/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/21/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/22/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/23/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/24/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/25/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/26/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/27/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/28/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/29/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/30/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
7/31/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/1/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/2/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/3/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
